name,class,method,description
Device Info,android.telephony.TelephonyManager,getDeviceSoftwareVersion,获取设备软件版本
Device Info,android.telephony.TelephonyManager,getLine1Number,获取线路1号码
Device Info,android.telephony.TelephonyManager,getNetworkCountryIso,获取网络国家ISO
Device Info,android.telephony.TelephonyManager,getNetworkOperator,获取网络运营商
Device Info,android.telephony.TelephonyManager,getNetworkOperatorName,获取网络运营商名称
Device Info,android.telephony.TelephonyManager,getSimCountryIso,获取SIM卡国家ISO
Device Info,android.telephony.TelephonyManager,getSimOperatorName,获取SIM卡运营商名称
Device Info,android.telephony.TelephonyManager,getSimSerialNumber,获取SIM卡序列号
Device Info,android.telephony.TelephonyManager,getSubscriberId,获取订阅者ID
Dex Class Loader,dalvik.system.BaseDexClassLoader,findLibrary,查找库
Dex Class Loader,dalvik.system.BaseDexClassLoader,findResource,查找资源
Dex Class Loader,dalvik.system.BaseDexClassLoader,findResources,查找资源
Dex Class Loader,dalvik.system.DexClassLoader,$init,初始化DexClassLoader
Dex Class Loader,dalvik.system.DexFile,loadClass,加载类
Dex Class Loader,dalvik.system.DexFile,loadDex,加载Dex文件
File IO,android.content.ContextWrapper,deleteFile,删除文件
File IO,android.content.ContextWrapper,openFileInput,打开文件输入
File IO,android.content.ContextWrapper,openFileOutput,打开文件输出
File IO,libcore.io.IoBridge,open,打开文件I/O
IPC,android.content.ContextWrapper,registerReceiver,注册Receiver
IPC,android.content.ContextWrapper,sendBroadcast,发送广播
IPC,android.content.ContextWrapper,sendStickyBroadcast,发送粘性广播
IPC,android.content.ContextWrapper,startActivity,启动Activity
IPC,android.content.ContextWrapper,startService,启动服务
IPC,android.content.ContextWrapper,stopService,停止服务
Java Native Interface,java.lang.Runtime,load,加载Java本地库
Java Native Interface,java.lang.Runtime,loadLibrary,加载本地库
Network,com.android.okhttp.internal.http.HttpURLConnectionImpl,getInputStream,获取输入流
Network,com.android.okhttp.internal.huc.HttpURLConnectionImpl,getInputStream,获取输入流
Network,java.net.URL,openConnection,打开连接
Network,org.apache.http.impl.client.AbstractHttpClient,execute,执行HTTP请求
Process,android.app.ActivityManager,killBackgroundProcesses,杀死后台进程
Process,android.os.Process,killProcess,杀死进程
Process,android.os.Process,start,启动进程
SMS,android.telephony.SmsManager,sendMultipartTextMessage,发送多部分文本消息
SMS,android.telephony.SmsManager,sendTextMessage,发送文本消息
System Manager,android.app.ApplicationPackageManager,setComponentEnabledSetting,设置组件启用状态
System Manager,android.app.NotificationManager,notify,发送通知
System Manager,android.content.BroadcastReceiver,abortBroadcast,终止广播
System Manager,android.telephony.TelephonyManager,listen,监听电话状态
WebView,android.webkit.WebView,addJavascriptInterface,添加JavaScript接口
WebView,android.webkit.WebView,evaluateJavascript,评估JavaScript
WebView,android.webkit.WebView,getHttpAuthUsernamePassword,获取HTTP认证用户名和密码
WebView,android.webkit.WebView,loadData,加载数据
WebView,android.webkit.WebView,loadDataWithBaseURL,带基础URL加载数据
WebView,android.webkit.WebView,loadUrl,加载URL
WebView,android.webkit.WebView,postUrl,POST URL
WebView,android.webkit.WebView,postWebMessage,发送Web消息
WebView,android.webkit.WebView,savePassword,保存密码
WebView,android.webkit.WebView,setHttpAuthUsernamePassword,设置HTTP认证用户名和密码
WebView,android.webkit.WebView,setWebContentsDebuggingEnabled,启用WebView调试
